iter	Logloss
160	0.5787606715
161	0.5785752271
162	0.578150914
163	0.5778982343
164	0.5774963824
165	0.5771016216
166	0.5767854565
167	0.5765235697
168	0.5762495797
169	0.5756342904
170	0.5753686538
171	0.5750138406
172	0.5747131199
173	0.574300056
174	0.5740579201
175	0.5737881626
176	0.5733983024
177	0.5732216197
178	0.5729926265
179	0.57258502
180	0.5723328973
181	0.5720631026
182	0.5719231747
183	0.5715908969
184	0.5714595823
185	0.5710901414
186	0.5708892525
187	0.5703551207
188	0.5702046861
189	0.5699762869
190	0.5695545354
191	0.5692361428
192	0.5687966451
193	0.5683751164
194	0.5680489273
195	0.5678748064
196	0.5676906242
197	0.5672715087
198	0.5669735725
199	0.5666270755
200	0.5662830659
201	0.5658613887
202	0.5655131096
203	0.5653570319
204	0.5650254967
205	0.5645601222
206	0.5642169293
207	0.5639936535
208	0.5636966826
209	0.5632892247
210	0.5630726687
211	0.5628078489
212	0.5625769993
213	0.5624070736
214	0.5622022494
215	0.5619163792
216	0.5616504827
217	0.5613230684
218	0.5610919962
219	0.560888063
220	0.5606713214
221	0.5604582923
222	0.5601476219
223	0.5598175717
224	0.5595915857
225	0.5592211424
226	0.5588808825
227	0.5586949555
228	0.5584717539
229	0.5581559972
230	0.5577587861
231	0.5574732871
232	0.5572022672
233	0.5567807386
234	0.5564508368
235	0.5563052658
236	0.5560777947
237	0.5556657332
238	0.5555179345
239	0.5553293344
240	0.5547080678
241	0.5544257616
242	0.5542389436
243	0.5538984238
244	0.55367719
245	0.5534857683
246	0.5532808698
247	0.5531295442
248	0.5530100727
249	0.5527286576
250	0.5524487275
251	0.5522332482
252	0.5520145388
253	0.5518377819
254	0.5514971879
255	0.5513094417
256	0.551137771
257	0.5510027438
258	0.5508106538
259	0.5504723987
260	0.5501921345
261	0.5498652771
262	0.5495713877
263	0.5492267098
264	0.5490352139
265	0.5489380922
266	0.5487052379
267	0.5483528007
268	0.5481293393
269	0.5479663561
270	0.5478006256
271	0.5475653581
272	0.5471446091
273	0.5467853036
274	0.546491377
275	0.546088634
276	0.5459256509
277	0.5457257644
278	0.5455508267
279	0.5453592194
280	0.5450466926
281	0.5447531002
282	0.5444138056
283	0.5437923533
284	0.5435059633
285	0.5433448365
286	0.5432164918
287	0.5428557013
288	0.5425761425
289	0.5422792458
290	0.5422039542
291	0.5419009689
292	0.5416338844
293	0.541281967
294	0.5409759002
295	0.5409281561
296	0.540811135
297	0.5406566165
298	0.5404277347
299	0.5401348476
300	0.5399342929
301	0.5397511874
302	0.5394695867
303	0.5393539392
304	0.5391778876
305	0.5389922576
306	0.5386852255
307	0.5385190866
308	0.5381230264
309	0.5378647036
310	0.5377331662
311	0.5376605477
312	0.5372991632
313	0.5370753676
314	0.5369563045
315	0.5365373004
316	0.5364316397
317	0.5362819105
318	0.5361897638
319	0.5360414083
320	0.5358224762
321	0.5356719674
322	0.5354250052
323	0.5353709126
324	0.5352103797
325	0.5349775254
326	0.5343895979
327	0.5342689755
328	0.5340790018
329	0.5338293665
330	0.5336075015
331	0.5333720483
332	0.5330425179
333	0.5326383642
334	0.532504265
335	0.5321834963
336	0.5319488971
337	0.5318638414
338	0.531676615
339	0.5314093077
340	0.5312331448
341	0.5310530094
342	0.5307187268
343	0.5304635969
344	0.530328087
345	0.5302126994
346	0.5301074842
347	0.5298166391
348	0.5296458595
349	0.5293255363
350	0.5291019635
351	0.528883811
352	0.5286121229
353	0.5282862308
354	0.5280539334
355	0.52787881
356	0.527546458
357	0.5273294565
358	0.5271490612
359	0.5268865061
360	0.5265984083
361	0.5264105507
362	0.526142241
363	0.525994034
364	0.525813416
365	0.5256955038
366	0.5255723197
367	0.5254849993
368	0.5251740319
369	0.5250667006
370	0.5247261808
371	0.5246230819
372	0.5243796096
373	0.5241378079
374	0.5240341892
375	0.5235938005
376	0.5233266417
377	0.5231551938
378	0.5227922129
379	0.5224578189
380	0.5222212891
381	0.5220394831
382	0.5217252485
383	0.5215210926
384	0.5212293565
385	0.5210730188
386	0.5207806887
387	0.5206834928
388	0.5205000903
389	0.5204092058
390	0.5202649342
391	0.5199950281
392	0.5196866595
393	0.5195250871
394	0.519317627
395	0.5191956309
396	0.5191498917
397	0.5190058056
398	0.5187885071
399	0.5185609247
400	0.5184748666
401	0.5181761507
402	0.5179618594
403	0.5177305273
404	0.5175140826
405	0.5174237179
406	0.5170666029
407	0.5168898831
408	0.5165999661
409	0.5165408244
410	0.5163930257
411	0.5161003614
412	0.5159973739
413	0.5158427069
414	0.5155999771
415	0.5152431219
416	0.5151675333
417	0.5149452228
418	0.5146330673
419	0.5144645895
420	0.5142912111
421	0.5139984354
422	0.513828027
423	0.5137324646
424	0.5135429735
425	0.5134111762
426	0.5131730871
427	0.5130800493
428	0.5129603922
429	0.512701661
430	0.5123207482
431	0.5121186342
432	0.5118910147
433	0.5115648256
434	0.5113903333
435	0.5112799577
436	0.5110464723
437	0.5108947011
438	0.5108538625
439	0.5106293987
440	0.5104947798
441	0.5102231659
442	0.510151587
443	0.5099169135
444	0.5098070948
445	0.5096779334
446	0.5095323994
447	0.5093607288
448	0.5089793704
449	0.5089285078
450	0.5085949677
451	0.5083141466
452	0.5080513687
453	0.5079691718
454	0.5077561056
455	0.5075608599
456	0.5073996959
457	0.5072809298
458	0.5070944459
459	0.5069328735
460	0.5068719126
461	0.5066696501
462	0.5064497528
463	0.5061259397
464	0.5059938454
465	0.5057586893
466	0.505613638
467	0.5052990693
468	0.5051573965
469	0.5050153523
470	0.5049227601
471	0.5048117904
472	0.5046552301
473	0.5044544526
474	0.5043458962
475	0.504284564
476	0.5041385103
477	0.5039610109
478	0.5036630004
479	0.5035208078
480	0.5031874534
481	0.5030773376
482	0.5030218714
483	0.5028682811
484	0.5027980387
485	0.5025719413
486	0.5022878531
487	0.5020864816
488	0.5018339505
489	0.5017393534
490	0.5016382965
491	0.5014252674
492	0.5013606682
493	0.5012741646
494	0.5010186263
495	0.500818777
496	0.5005340947
497	0.5003627953
498	0.5002464424
499	0.500008242
